member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,direction,segment_index,segment_capacity_ah,cumulative_capacity_ah,soc_fraction_by_capacity,ocv_voltage_v,ocv_temperature_mean_deg_c
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,47,0.0175068941332997,0.8403538081649731,0.4891940592814881,3.25957151520186,5.72376682320442
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,48,0.0175073272722153,0.8578611354371883,0.4993855767259871,3.25785494740567,5.722709309392265
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,49,0.0175113771569191,0.8753725125941074,0.5095794517245528,3.25632910936462,5.7238337292817665
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,50,0.0175117933690746,0.892884305963182,0.5197735690121542,3.2544218118133,5.721382872928176
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,51,0.0175087788503996,0.9103930848135816,0.5299659314619563,3.25270524401711,5.725395000000001
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,52,0.0175091435568253,0.9279022283704069,0.5401585062178312,3.2507979464658,5.721003701657458
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,53,0.0175076448131384,0.9454098731835453,0.550350208512011,3.24889064891448,5.734456767955801
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,54,0.0175075968612148,0.9629174700447601,0.5605418828920005,3.24698335136316,5.7348455801104965
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,55,0.0175086438041467,0.9804261138489069,0.5707341667275047,3.24488532405671,5.736832569060773
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,56,0.0175090387032564,0.9979351525521633,0.5809266804451091,3.24278729675026,5.731075303867404
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,57,0.0175073366688637,1.015442489221027,0.5911182033596667,3.24068926944381,5.727352292817679
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,58,0.0175067889890488,1.0329492782100758,0.6013094074540926,3.23840051238223,5.743007127071823
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,59,0.0175073566566037,1.0504566348666795,0.6115009420040871,3.23611175532065,5.7376077900552485
