member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,direction,segment_index,segment_capacity_ah,cumulative_capacity_ah,soc_fraction_by_capacity,ocv_voltage_v,ocv_temperature_mean_deg_c,smoothing_window_segments,smoothed_ocv_voltage_v,dv_dcapacity_fraction_v,abs_dv_dcapacity_fraction_v
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,37,0.0029228303726096,0.3025696182699418,0.7082935482223135,3.27463916585727,5.554870055248618,1,3.27463916585727,0.09842271280288628,0.09842271280288628
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,38,0.0028537565937473,0.3054233748636891,0.7149739855877888,3.27521135512266,5.559377044198895,1,3.27521135512266,0.08654554631951328,0.08654554631951328
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,39,0.0027959755751498,0.3082193504388389,0.7215191617762948,3.27578354438806,5.563079419889504,1,3.27578354438806,0.08824607496291037,0.08824607496291037
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,40,0.0027446754396642,0.3109640258785032,0.7279442480655072,3.27635573365345,5.549656132596685,1,3.27635573365345,0.09034863915917413,0.09034863915917413
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,41,0.002668264429348,0.3136322903078511,0.7341904617173093,3.27692792291885,5.560830662983426,1,3.27692792291885,0.09231439167797362,0.09231439167797362
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,42,0.0026279155465665,0.3162602058544176,0.7403422215587272,3.27750011218424,5.57176455801105,1,3.27750011218424,0.09335860411403019,0.09335860411403019
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,43,0.0026085620300663,0.318868767884484,0.7464486762206268,3.27807230144964,5.562983038674033,1,3.27807230144964,0.07862856959127384,0.07862856959127384
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,44,0.0025505023764373,0.3214192702609212,0.7524192174411419,3.2784537609599,5.5540755801104975,1,3.2784537609599,0.08119030180097297,0.08119030180097297
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,45,0.0024918209969664,0.3239110912578876,0.758252389805135,3.2790259502253,5.554231436464089,1,3.2790259502253,0.09905527825782201,0.09905527825782201
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,46,0.0024442870603436,0.3263553783182312,0.7639742886684243,3.27959813949069,5.553734392265193,1,3.27959813949069,0.0837273519978794,0.0837273519978794
