cell_id,cell_family,chemistry_type,temperature_deg_c,smoothing_window_segments,capacity_window,window_lower_fraction,window_upper_fraction,usable_energy_wh,capacity_ah,mean_ocv_v,n_segments,energy_retention_vs_25c
TC23NMC09,NMC,lithium-ion,15.0,1,full,0.0,1.0,6.138472897262949,1.6144625549042741,3.7523627689297894,105,0.9915584388498591
TC23NMC09,NMC,lithium-ion,25.0,1,full,0.0,1.0,6.190732342899692,1.6272467358354772,3.7566654894263247,105,1.0
TC23NMC09,NMC,lithium-ion,35.0,1,full,0.0,1.0,6.220213358853791,1.6361003942256505,3.745940472739096,105,1.0047621209125464
TC23NMC09,NMC,lithium-ion,45.0,1,full,0.0,1.0,6.231569247635323,1.6390654182223405,3.75341075108534,105,1.0065964578136652
TC23NMC09,NMC,lithium-ion,5.0,5,full,0.0,1.0,5.9716799861863405,1.571218481198803,3.7666117542668256,105,0.9648565319197422
TC23NMC09,NMC,lithium-ion,15.0,5,full,0.0,1.0,6.137247619084423,1.6144625549042741,3.7523192392261584,105,0.9916076325222084
TC23NMC09,NMC,lithium-ion,25.0,5,full,0.0,1.0,6.1891895723654295,1.6272467358354772,3.7566159660639187,105,1.0
TC23NMC09,NMC,lithium-ion,35.0,5,full,0.0,1.0,6.218869521543517,1.6361003942256505,3.7458980025206023,105,1.004795450006994
TC23NMC09,NMC,lithium-ion,45.0,5,full,0.0,1.0,6.230035167304438,1.6390654182223405,3.7533817514635888,105,1.0065995061972868
TC23NMC09,NMC,lithium-ion,5.0,11,full,0.0,1.0,5.969317990616333,1.571218481198803,3.7669748237704836,105,0.9652637235452264
TC23NMC09,NMC,lithium-ion,15.0,11,full,0.0,1.0,6.133073481003525,1.6144625549042741,3.7526298933726685,105,0.9917436722848636
TC23NMC09,NMC,lithium-ion,25.0,11,full,0.0,1.0,6.184131698943566,1.6272467358354772,3.757246252395989,105,1.0
TC23NMC09,NMC,lithium-ion,35.0,11,full,0.0,1.0,6.213443511821709,1.6361003942256505,3.746257516884864,105,1.004739842924618
TC23NMC09,NMC,lithium-ion,45.0,11,full,0.0,1.0,6.224754031061655,1.6390654182223405,3.75414764042691,105,1.0065688012635676
TC23NMC09,NMC,lithium-ion,5.0,1,late_discharge,0.5,1.0,2.8883602608423233,0.7990560470684559,3.57528730289867,55,0.984334691564935
TC23NMC09,NMC,lithium-ion,15.0,1,late_discharge,0.5,1.0,2.94818593327422,0.8173344245773603,3.5451659478189836,55,1.0047228978490579
TC23NMC09,NMC,lithium-ion,25.0,1,late_discharge,0.5,1.0,2.9343274046861962,0.8141670553945253,3.5440907951441596,54,1.0
TC23NMC09,NMC,lithium-ion,35.0,1,late_discharge,0.5,1.0,2.992807235682708,0.8312060440793773,3.5151276247270817,56,1.019929552136247
TC23NMC09,NMC,lithium-ion,45.0,1,late_discharge,0.5,1.0,2.955813540530146,0.8214929300837714,3.537271242478752,54,1.0073223375856546
TC23NMC09,NMC,lithium-ion,5.0,5,late_discharge,0.5,1.0,2.8878366530433026,0.7990560470684559,3.5751851877948253,55,0.9845989861450648
TC23NMC09,NMC,lithium-ion,15.0,5,late_discharge,0.5,1.0,2.947185327519611,0.8173344245773603,3.5451669880407537,55,1.0048337333759534
TC23NMC09,NMC,lithium-ion,25.0,5,late_discharge,0.5,1.0,2.93300794910409,0.8141670553945253,3.5440950330847083,54,1.0
TC23NMC09,NMC,lithium-ion,35.0,5,late_discharge,0.5,1.0,2.9916976742451644,0.8312060440793773,3.515302666807223,56,1.0200100804905767
TC23NMC09,NMC,lithium-ion,45.0,5,late_discharge,0.5,1.0,2.954496822667383,0.8214929300837714,3.5372481103865914,54,1.0073265650609153
TC23NMC09,NMC,lithium-ion,5.0,11,late_discharge,0.5,1.0,2.8860974341406576,0.7990560470684559,3.575958348261904,55,0.9854480984038272
TC23NMC09,NMC,lithium-ion,15.0,11,late_discharge,0.5,1.0,2.9437727013157513,0.8173344245773603,3.5461886663200315,55,1.0051411211307442
TC23NMC09,NMC,lithium-ion,25.0,11,late_discharge,0.5,1.0,2.9287158185351356,0.8141670553945253,3.545766158634631,54,1.0
TC23NMC09,NMC,lithium-ion,35.0,11,late_discharge,0.5,1.0,2.9870762840683343,0.8312060440793773,3.5168514496750705,56,1.0199269813629064
TC23NMC09,NMC,lithium-ion,45.0,11,late_discharge,0.5,1.0,2.9499748783646393,0.8214929300837714,3.539033457377993,54,1.0072588332725765
TC23SIB09,SIB,sodium-ion,5.0,1,central,0.2,0.8,2.4273756954398475,0.7679483917504507,3.16086289804833,53,0.8085014388976262
TC23SIB09,SIB,sodium-ion,15.0,1,central,0.2,0.8,2.627878082278776,0.8409650089786598,3.1248389197653443,54,0.875284042252443
TC23SIB09,SIB,sodium-ion,25.0,1,central,0.2,0.8,3.0023146263654406,0.9562753506127278,3.1395974257025308,54,1.0
TC23SIB09,SIB,sodium-ion,35.0,1,central,0.2,0.8,2.9347696714572873,0.9421281090807039,3.1150431829768253,57,0.9775023728975659
TC23SIB09,SIB,sodium-ion,45.0,1,central,0.2,0.8,3.0370839511088303,0.97538130382451,3.1137433460909847,59,1.011580839808745
TC23SIB09,SIB,sodium-ion,5.0,5,central,0.2,0.8,2.4275166891221933,0.7679483917504507,3.1610464952195008,53,0.8085332942877768
TC23SIB09,SIB,sodium-ion,15.0,5,central,0.2,0.8,2.627983882335659,0.8409650089786598,3.1249647044939444,54,0.8753029279845562
