cell_family,chemistry_type,temperature_deg_c,pulse_direction,abs_c_rate,nominal_soc_percent,pulse_count,complete_1s_count,complete_10s_count,median_r_fast_mohm,median_r_1s_mohm,median_r_10s_mohm,median_polarization_1s_mohm
LFP,lithium-ion,35.0,charge,1.0,100,2,2,2,49.1447336491962,57.09181218237745,89.5158925977579,7.94707853318115
LFP,lithium-ion,35.0,charge,2.0,0,1,1,1,59.126263504668906,74.13034757681949,108.8431861505307,15.0040840721505
LFP,lithium-ion,35.0,charge,2.0,10,2,2,2,51.75137472344295,59.69845315148965,71.33297597014939,7.94707842804665
LFP,lithium-ion,35.0,charge,2.0,20,2,2,2,51.4334915863189,59.189840132092705,71.93695393068039,7.756348545773751
LFP,lithium-ion,35.0,charge,2.0,30,2,2,2,51.05203182177295,58.490497230424445,71.1740344015883,7.4384654086514495
LFP,lithium-ion,35.0,charge,2.0,40,2,2,2,50.7659369983625,58.0454608384545,71.1422460878747,7.2795238400919
LFP,lithium-ion,35.0,charge,2.0,50,2,2,2,50.3844772338165,57.8865192698951,72.00053055810591,7.5020420360786
LFP,lithium-ion,35.0,charge,2.0,60,2,2,2,50.2891122926808,57.8229426424695,74.06677094939721,7.533830349788699
LFP,lithium-ion,35.0,charge,2.0,70,2,2,2,49.6215577047244,56.9328698585283,72.4773552637876,7.311312153803899
LFP,lithium-ion,35.0,charge,2.0,80,2,2,2,49.3036164666195,56.20167228491805,72.66800287386755,6.8980558182985
LFP,lithium-ion,35.0,charge,2.0,90,2,2,2,49.17652131275619,55.6613373100409,73.43100467515445,6.484815997284651
LFP,lithium-ion,35.0,charge,2.0,100,2,2,2,49.430827822453,56.328891897995604,93.8073137646666,6.898064075542551
LFP,lithium-ion,35.0,charge,3.0,0,1,1,1,58.6600351622344,72.4349711649284,101.8497575829845,13.7749360026939
LFP,lithium-ion,35.0,charge,3.0,10,2,2,2,50.92487879149215,59.062687137697395,68.59918129340714,8.137808346205151
LFP,lithium-ion,35.0,charge,3.0,20,2,2,2,51.07322425613635,58.68122737147024,69.2137553612217,7.6080031153339
LFP,lithium-ion,35.0,charge,3.0,30,2,2,2,50.2679203052105,58.0666533036569,68.42964361952936,7.79873299844635
LFP,lithium-ion,35.0,charge,3.0,40,2,2,2,50.140767049801156,57.8335390020739,68.55679687493875,7.6927719522727
LFP,lithium-ion,35.0,charge,3.0,50,2,2,2,50.45865018832515,57.7487701651339,69.46806187204041,7.29011997680865
LFP,lithium-ion,35.0,charge,3.0,60,2,2,2,50.3950735606199,57.85473121130865,71.26939965700684,7.4596576506886505
LFP,lithium-ion,35.0,charge,3.0,70,2,2,2,49.29307868040355,56.6679674941534,69.93429047520755,7.374888813749799
