target,feature_set,split_type,folds,mean_rmse,mean_mae,mean_skill_vs_train_mean
target_pulse_r_1s_growth_vs_25c,core_all_no_eis,sodium_to_li_transfer,1,0.8667068946482844,0.48994266172048195,-0.5127901487278543
target_pulse_r_1s_growth_vs_25c,core_all_with_eis,sodium_to_li_transfer,1,0.8667068946482844,0.48994266172048195,-0.5127901487278543
target_pulse_r_1s_growth_vs_25c,capacity_ocv_slope,sodium_to_li_transfer,1,1.1431802513642466,1.1043093864577502,-0.9953594844608493
target_usable_energy_retention_vs_25c,capacity_only,leave_one_family_out,4,0.005123129488429993,0.004032969887245536,0.8360568819214353
target_usable_energy_retention_vs_25c,capacity_ocv_slope,leave_one_family_out,4,0.005418126147294805,0.004287379202438274,0.8252395036760077
target_usable_energy_retention_vs_25c,capacity_pulse,leave_one_family_out,4,0.007581339149341761,0.006605671784547167,0.7654910555566521
target_usable_energy_retention_vs_25c,core_all_no_eis,leave_one_family_out,4,0.01219821696771366,0.01067548060520902,0.6061426335075566
target_usable_energy_retention_vs_25c,core_all_with_eis,leave_one_family_out,4,0.012224886658057446,0.010191625043836371,0.606399202627808
target_usable_energy_retention_vs_25c,pulse_polarization,leave_one_family_out,4,0.02953175596944088,0.023816136643399804,0.18557214537774602
target_usable_energy_retention_vs_25c,temperature_chemistry,leave_one_family_out,4,0.03490471650257376,0.02729102625443381,0.12197026858913598
target_usable_energy_retention_vs_25c,pulse_fast_only,leave_one_family_out,4,0.03687908599659429,0.03056834459409167,-0.0718884534877719
target_usable_energy_retention_vs_25c,capacity_only,leave_one_temperature_out,5,0.005266473100142996,0.004264141685903833,0.8559372741219438
target_usable_energy_retention_vs_25c,capacity_ocv_slope,leave_one_temperature_out,5,0.005277106860059814,0.0042505364347786125,0.8556425783610573
target_usable_energy_retention_vs_25c,capacity_pulse,leave_one_temperature_out,5,0.007788458660422046,0.005493741762566023,0.7973802489786712
target_usable_energy_retention_vs_25c,core_all_no_eis,leave_one_temperature_out,5,0.010907758219146767,0.008098896511994419,0.7448296999217643
target_usable_energy_retention_vs_25c,core_all_with_eis,leave_one_temperature_out,5,0.012676934029093413,0.009845664969542905,0.7195178375841946
target_usable_energy_retention_vs_25c,pulse_polarization,leave_one_temperature_out,5,0.02464833679991803,0.018366299265044232,0.41504626269996
target_usable_energy_retention_vs_25c,pulse_fast_only,leave_one_temperature_out,5,0.02758740063184082,0.020997498649712898,0.2911367200653977
target_usable_energy_retention_vs_25c,temperature_chemistry,leave_one_temperature_out,5,0.0362117213939825,0.029149650067431494,0.08870637933910039
target_usable_energy_retention_vs_25c,capacity_only,li_to_sodium_transfer,1,0.007582604141466718,0.006257833126993439,0.9149250196281092
target_usable_energy_retention_vs_25c,capacity_ocv_slope,li_to_sodium_transfer,1,0.007830964743262607,0.0063791525475061835,0.9121384738809315
target_usable_energy_retention_vs_25c,capacity_pulse,li_to_sodium_transfer,1,0.012024881805518035,0.010030853806164086,0.8650837410878119
target_usable_energy_retention_vs_25c,core_all_no_eis,li_to_sodium_transfer,1,0.016992870772855776,0.014094577427910227,0.8093441091620611
target_usable_energy_retention_vs_25c,core_all_with_eis,li_to_sodium_transfer,1,0.0172652325251088,0.014022277189919597,0.8062882763248616
target_usable_energy_retention_vs_25c,pulse_polarization,li_to_sodium_transfer,1,0.059080940240867685,0.04392087929815795,0.33712617227932706
target_usable_energy_retention_vs_25c,pulse_fast_only,li_to_sodium_transfer,1,0.06727605918558179,0.049360658938376004,0.2451789242944149
target_usable_energy_retention_vs_25c,temperature_chemistry,li_to_sodium_transfer,1,0.08052808414570338,0.05635714217298689,0.09649441665874747
target_usable_energy_retention_vs_25c,capacity_pulse,sodium_to_li_transfer,1,0.0174494027747814,0.013493329370004581,0.6594506542185603
