cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,arrhenius_r_squared,arrhenius_activation_energy_mev,vtf_r_squared,vtf_b_k,vtf_t0_k,aic_arrhenius,aic_vtf,delta_aic_vtf_minus_arrhenius,aicc_arrhenius,aicc_vtf,vtf_fits_at_least_as_well,forms_indistinguishable
NMC,lithium-ion,charge,2.0,fast,0.9846941579630233,206.58090135191483,0.9974645784315349,165.15112567976016,218.19749966477727,-24.482360547151547,-31.471733875085533,-6.989373327933986,-0.4823605471515471,,True,False
SIB,sodium-ion,charge,2.0,fast,0.9987322576817041,269.1991196893284,0.9987322576817041,3123.926062792795,0.0,-34.3562579895803,-32.356257989580236,2.000000000000064,-10.3562579895803,,True,False
LFP,lithium-ion,charge,3.0,100ms,0.9960371467202481,220.6569788163045,0.9960371467202481,2560.6179093634332,0.0,-30.676644656044154,-28.676644656044168,1.9999999999999858,-6.676644656044154,,True,True
LTO,lithium-ion,charge,3.0,100ms,0.9521130015351892,71.30766207042944,0.9996250179482006,18.127654088847954,250.7803806343906,-29.34083922153006,-51.589444985535216,-22.248605764005156,-5.340839221530061,,True,False
NMC,lithium-ion,charge,3.0,100ms,0.9849055758769305,209.2425420661633,0.997462784157778,171.15685866603232,217.30566144533967,-24.415781659703626,-31.332071947288604,-6.916290287584978,-0.4157816597036259,,True,False
SIB,sodium-ion,charge,3.0,100ms,0.9935380899702021,252.26860817927383,0.9935380899702022,2927.455635163915,0.0,-26.822141411317638,-24.822141411317716,1.9999999999999218,-2.822141411317638,,True,True
LFP,lithium-ion,charge,3.0,10s,0.9650797836506299,322.2421003902141,0.9999620253873202,61.746034447108315,261.90336988313857,-13.64869260186417,-38.944306027551676,-25.295613425687506,,,True,False
LTO,lithium-ion,charge,3.0,10s,0.948139392538894,90.5297642999974,0.9921942876760498,26.60176661302658,247.75372086811348,-26.534601954925087,-34.00312034812241,-7.468518393197321,-2.534601954925087,,True,False
NMC,lithium-ion,charge,3.0,10s,0.9724851372097886,227.3774055724313,0.999476104590948,97.02686750311155,238.47460261993535,-20.519150700332474,-38.32509839734481,-17.805947697012336,3.4808492996675255,,True,False
SIB,sodium-ion,charge,3.0,10s,0.9513148509960906,123.99271321788292,0.9513148509960903,1438.8756875013232,0.0,-23.61047562069298,-21.61047562069295,2.000000000000032,0.38952437930701933,,False,False
LFP,lithium-ion,charge,3.0,1s,0.9805056575984493,283.09130282377623,0.9805056575984494,3285.138153727079,0.0,-20.140662906973716,-18.140662906973734,1.9999999999999822,3.8593370930262836,,True,True
LTO,lithium-ion,charge,3.0,1s,0.94239965545939,77.25950571839601,0.9963246743938772,18.01736053016022,252.50990050083468,-27.564483506110662,-39.323917607341734,-11.759434101231072,-3.564483506110662,,True,False
NMC,lithium-ion,charge,3.0,1s,0.9698331512302619,233.55310688737876,0.9991427337773315,93.42249291823538,240.2026794505146,-19.77742787108377,-35.58117968269697,-15.8037518116132,4.22257212891623,,True,False
SIB,sodium-ion,charge,3.0,1s,0.983070670578911,202.08980058515172,0.9830706705789111,2345.1547531103365,0.0,-24.171393943656362,-22.17139394365639,1.9999999999999716,-0.17139394365636207,,True,True
LFP,lithium-ion,charge,3.0,end,0.9861401210030574,163.283194960117,0.9861401210030574,1894.8227948911965,0.0,-27.37777708545586,-25.377777085455847,2.000000000000014,-3.377777085455861,,True,False
LTO,lithium-ion,charge,3.0,end,0.9622451343678348,87.74765884426722,0.9968885501840152,30.46389230137915,243.86230116861432,-28.507801176976322,-38.987928986830255,-10.480127809853933,-4.507801176976322,,True,False
NMC,lithium-ion,charge,3.0,end,0.9909692096680401,192.9096658003493,0.9986122590576324,223.3829568575047,202.61700838541609,-27.82761814506835,-35.19243155906154,-7.36481341399319,-3.8276181450683495,,True,False
SIB,sodium-ion,charge,3.0,end,0.9817820222183394,133.01069736883002,0.9817820222183393,1543.5250480025998,0.0,-27.980854889015703,-25.98085488901569,2.000000000000014,-3.9808548890157027,,False,False
LFP,lithium-ion,charge,3.0,fast,0.9948047034335394,198.5246755943865,0.9948047034335395,2303.7831955487227,0.0,-30.37346660724998,-28.37346660725005,1.999999999999929,-6.373466607249981,,True,True
LTO,lithium-ion,charge,3.0,fast,0.952230133336386,70.29764831460939,0.9982190519380796,19.04365129096567,249.48324073455757,-29.496353681153558,-43.94259965421753,-14.446245973063974,-5.496353681153558,,True,False
NMC,lithium-ion,charge,3.0,fast,0.9873855617443663,196.4589302832069,0.9967538187487411,198.65393101052314,208.66527729244345,-25.956179250327633,-30.74299297708439,-4.786813726756758,-1.956179250327633,,True,False
SIB,sodium-ion,charge,3.0,fast,0.9983518411560252,243.77404840044824,0.9983518411560254,2828.8803622742826,0.0,-34.02016547121283,-32.02016547121346,1.9999999999993676,-10.020165471212827,,True,True
LFP,lithium-ion,discharge,1.0,100ms,0.9964030924521033,278.2222229643364,0.9971416358895959,1167.404296123069,118.33458478062238,-28.84742090301468,-27.996545853066287,0.8508750499483924,-4.8474209030146795,,True,True
LTO,lithium-ion,discharge,1.0,100ms,0.9337259438414556,74.0217423891591,0.9991862451283473,13.917228058562406,256.39034030734854,-27.244982198671927,-47.244455246629734,-19.999473047957807,-3.244982198671927,,True,False
NMC,lithium-ion,discharge,1.0,100ms,0.9707743811170899,236.9281230929896,0.9983519385026676,101.13274199387048,238.47063649315726,-19.796720356888926,-32.173950039339076,-12.37722968245015,4.203279643111074,,True,False
SIB,sodium-ion,discharge,1.0,100ms,0.9962333248302419,360.4235099590076,0.997787796350094,1085.9776478089948,145.49313390771044,-25.96870793911495,-26.629725684725592,-0.6610177456106427,-1.9687079391149496,,True,True
LFP,lithium-ion,discharge,1.0,10s,0.996909788653175,259.26914546936246,0.998141405709943,863.2842883237087,137.7690968796297,-30.314672401655955,-30.85676760985219,-0.5420952081962369,-6.314672401655955,,True,True
LTO,lithium-ion,discharge,1.0,10s,0.9713368740423673,88.89622692406226,0.9996377103100812,35.9731169929548,239.96060517804122,-29.802260831942355,-49.656873960148296,-19.85461312820594,-5.802260831942355,,True,False
NMC,lithium-ion,discharge,1.0,10s,0.9782228324433395,220.5560685102474,0.9993005115984559,116.12789995751294,232.4224681763018,-22.021904249888475,-37.213244886011566,-15.19134063612309,1.9780957501115246,,True,False
SIB,sodium-ion,discharge,1.0,10s,0.9905799566870577,342.86714468460696,0.9972788954569679,438.9948242490245,197.73250839682905,-21.856385628093015,-26.065394661485954,-4.209009033392938,2.1436143719069847,,True,False
LFP,lithium-ion,discharge,1.0,1s,0.9962107728913925,284.08767266533505,0.9974555787234713,945.9288009314077,137.7690968796297,-28.377390308687524,-28.36868451510037,0.008705793587154176,-4.377390308687524,,True,True
LTO,lithium-ion,discharge,1.0,1s,0.9500725882990575,74.34562811527624,0.9987805545810605,18.912815598514012,250.76964144732236,-28.70424087927369,-45.2651108985674,-16.56087001929371,-4.704240879273691,,True,False
NMC,lithium-ion,discharge,1.0,1s,0.968551739305745,237.83066875969402,0.9987659748427096,93.58668802943122,240.6306966063199,-19.380748207437,-33.571060036033394,-14.190311828596393,4.619251792562999,,True,False
