cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,activation_energy_ev,activation_energy_mev,standard_error_ev,standard_error_mev,r_squared,prefactor_mohm,n_points,temperature_min_deg_c,temperature_max_deg_c,li_reference_family_count,li_reference_mean_activation_energy_ev,li_reference_min_activation_energy_ev,li_reference_max_activation_energy_ev,activation_energy_excess_vs_li_mean_ev,exceeds_every_li_reference
LTO,lithium-ion,charge,3.0,10s,0.0905297642999974,90.5297642999974,0.012224003531949657,12.224003531949657,0.948139392538894,0.9127956384067039,5,5.845599999999998,45.38151802395209,3,0.2133830900875476,0.0905297642999974,0.3222421003902141,-0.1228533257875502,False
NMC,lithium-ion,charge,3.0,10s,0.22737740557243127,227.3774055724313,0.022081515105026178,22.081515105026178,0.9724851372097886,0.008349344790148996,5,5.629505379241517,45.55457001996008,3,0.2133830900875476,0.0905297642999974,0.3222421003902141,0.013994315484883668,False
SIB,sodium-ion,charge,3.0,10s,0.12399271321788292,123.99271321788292,0.01619465309661398,16.19465309661398,0.9513148509960906,0.5938750461863422,5,5.456723203592815,45.38225,3,0.2133830900875476,0.0905297642999974,0.3222421003902141,-0.08939037686966468,False
LFP,lithium-ion,charge,3.0,1s,0.28309130282377626,283.09130282377623,0.023045977985226323,23.045977985226322,0.9805056575984493,0.0014400605770090089,5,5.54385,45.22528452095809,3,0.19796797180985035,0.07725950571839602,0.28309130282377626,0.08512333101392591,False
LTO,lithium-ion,charge,3.0,1s,0.07725950571839602,77.25950571839601,0.011027733931532523,11.027733931532522,0.94239965545939,1.3115774761275205,5,5.845599999999998,45.38151802395209,3,0.19796797180985035,0.07725950571839602,0.28309130282377626,-0.12070846609145433,False
NMC,lithium-ion,charge,3.0,1s,0.23355310688737876,233.55310688737876,0.023781622555336036,23.781622555336035,0.9698331512302619,0.005317360321247013,5,5.629505379241517,45.55457001996008,3,0.19796797180985035,0.07725950571839602,0.28309130282377626,0.03558513507752842,False
SIB,sodium-ion,charge,3.0,1s,0.20208980058515172,202.08980058515172,0.015311272161171445,15.311272161171445,0.983070670578911,0.028810407253043843,5,5.456723203592815,45.38225,3,0.19796797180985035,0.07725950571839602,0.28309130282377626,0.004121828775301373,False
LFP,lithium-ion,charge,3.0,end,0.16328319496011698,163.283194960117,0.011176125434930257,11.176125434930258,0.9861401210030574,0.1459173025399942,5,5.54385,45.22528452095809,3,0.14798017320157783,0.08774765884426722,0.1929096658003493,0.015303021758539148,False
LTO,lithium-ion,charge,3.0,end,0.08774765884426722,87.74765884426722,0.010035026260689783,10.035026260689783,0.9622451343678348,1.0186445037834315,5,5.845599999999998,45.38151802395209,3,0.14798017320157783,0.08774765884426722,0.1929096658003493,-0.06023251435731061,False
NMC,lithium-ion,charge,3.0,end,0.1929096658003493,192.9096658003493,0.01063227401204362,10.63227401204362,0.9909692096680401,0.030365435639001712,5,5.629505379241517,45.55457001996008,3,0.14798017320157783,0.08774765884426722,0.1929096658003493,0.044929492598771464,False
SIB,sodium-ion,charge,3.0,end,0.13301069736883003,133.01069736883002,0.01046088648620726,10.46088648620726,0.9817820222183394,0.4113937489848309,5,5.456723203592815,45.38225,3,0.14798017320157783,0.08774765884426722,0.1929096658003493,-0.014969475832747797,False
LFP,lithium-ion,charge,3.0,fast,0.1985246755943865,198.5246755943865,0.008283046978775055,8.283046978775054,0.9948047034335394,0.029140617481788908,5,5.54385,45.22528452095809,3,0.15509375139740092,0.07029764831460938,0.1985246755943865,0.043430924196985576,False
LTO,lithium-ion,charge,3.0,fast,0.07029764831460938,70.29764831460939,0.00909046760660419,9.09046760660419,0.952230133336386,1.4929776951466505,5,5.845599999999998,45.38151802395209,3,0.15509375139740092,0.07029764831460938,0.1985246755943865,-0.08479610308279154,False
NMC,lithium-ion,charge,3.0,fast,0.1964589302832069,196.4589302832069,0.012820404239558778,12.820404239558778,0.9873855617443663,0.019748513543022927,5,5.629505379241517,45.55457001996008,3,0.15509375139740092,0.07029764831460938,0.1985246755943865,0.04136517888580599,False
SIB,sodium-ion,charge,3.0,fast,0.24377404840044825,243.77404840044824,0.005718532102046409,5.718532102046408,0.9983518411560252,0.0056609726804124575,5,5.456723203592815,45.38225,3,0.15509375139740092,0.07029764831460938,0.1985246755943865,0.08868029700304733,True
LFP,lithium-ion,discharge,1.0,100ms,0.2782222229643364,278.2222229643364,0.009651132834384357,9.651132834384356,0.9964030924521033,0.0015681312808547055,5,5.544949940119761,45.22138738522955,3,0.19639069614882834,0.0740217423891591,0.2782222229643364,0.08183152681550807,False
LTO,lithium-ion,discharge,1.0,100ms,0.0740217423891591,74.0217423891591,0.011385726284614543,11.385726284614542,0.9337259438414556,1.325093487762699,5,5.834509011976049,45.36864948103791,3,0.19639069614882834,0.0740217423891591,0.2782222229643364,-0.12236895375966925,False
NMC,lithium-ion,discharge,1.0,100ms,0.2369281230929896,236.9281230929896,0.023734423733020687,23.734423733020687,0.9707743811170899,0.004403531360620822,5,5.625201556886228,45.54951596806388,3,0.19639069614882834,0.0740217423891591,0.2782222229643364,0.040537426944161264,False
SIB,sodium-ion,discharge,1.0,100ms,0.3604235099590076,360.4235099590076,0.012795316601612587,12.795316601612587,0.9962333248302419,7.700458845970781e-05,5,5.456490239520958,45.36208015968064,3,0.19639069614882834,0.0740217423891591,0.2782222229643364,0.16403281381017928,True
LFP,lithium-ion,discharge,1.0,10s,0.25926914546936247,259.26914546936246,0.008334055152600658,8.334055152600659,0.996909788653175,0.0044155337791382575,5,5.544949940119761,45.22138738522955,3,0.1895738136345574,0.08889622692406227,0.25926914546936247,0.06969533183480509,False
LTO,lithium-ion,discharge,1.0,10s,0.08889622692406227,88.89622692406226,0.008816567547019606,8.816567547019606,0.9713368740423673,0.984050826762769,5,5.834509011976049,45.36864948103791,3,0.1895738136345574,0.08889622692406227,0.25926914546936247,-0.10067758671049512,False
NMC,lithium-ion,discharge,1.0,10s,0.2205560685102474,220.5560685102474,0.018999412985734983,18.999412985734985,0.9782228324433395,0.011036463684935195,5,5.625201556886228,45.54951596806388,3,0.1895738136345574,0.08889622692406227,0.25926914546936247,0.030982254875690007,False
SIB,sodium-ion,discharge,1.0,10s,0.34286714468460694,342.86714468460696,0.019303982940131335,19.303982940131334,0.9905799566870577,0.00017827587136126343,5,5.456490239520958,45.36208015968064,3,0.1895738136345574,0.08889622692406227,0.25926914546936247,0.15329333105004955,True
LFP,lithium-ion,discharge,1.0,1s,0.284087672665335,284.08767266533505,0.010115595684206604,10.115595684206605,0.9962107728913925,0.0013686445003153532,5,5.544949940119761,45.22138738522955,3,0.19875465651343513,0.07434562811527624,0.284087672665335,0.0853330161518999,False
LTO,lithium-ion,discharge,1.0,1s,0.07434562811527624,74.34562811527624,0.00983979249106951,9.83979249106951,0.9500725882990575,1.4285186569513924,5,5.834509011976049,45.36864948103791,3,0.19875465651343513,0.07434562811527624,0.284087672665335,-0.12440902839815889,False
NMC,lithium-ion,discharge,1.0,1s,0.23783066875969402,237.83066875969402,0.024742531538244964,24.742531538244965,0.968551739305745,0.004531317518682675,5,5.625201556886228,45.54951596806388,3,0.19875465651343513,0.07434562811527624,0.284087672665335,0.039076012246258895,False
SIB,sodium-ion,discharge,1.0,1s,0.37288713360584036,372.88713360584035,0.01677437351133853,16.774373511338528,0.9939656506063593,4.9879185979173964e-05,5,5.456490239520958,45.36208015968064,3,0.19875465651343513,0.07434562811527624,0.284087672665335,0.17413247709240523,True
LFP,lithium-ion,discharge,1.0,end,0.25926914546936247,259.26914546936246,0.008334055152600658,8.334055152600659,0.996909788653175,0.0044155337791382575,5,5.544949940119761,45.22138738522955,3,0.1895738136345574,0.08889622692406227,0.25926914546936247,0.06969533183480509,False
LTO,lithium-ion,discharge,1.0,end,0.08889622692406227,88.89622692406226,0.008816567547019606,8.816567547019606,0.9713368740423673,0.984050826762769,5,5.834509011976049,45.36864948103791,3,0.1895738136345574,0.08889622692406227,0.25926914546936247,-0.10067758671049512,False
