model,fit_success,residual_nrmse,near_parameter_bound,elite_parameter_cv,n_parameters,n_starting_points,n_successful_fits,rs_ohm,rct_ohm,q_s_alpha_per_ohm,warburg_sigma_ohm_s_minus_half,alpha,member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,rct2_ohm,q2_s_alpha_per_ohm,alpha1,alpha2,fit_reliable
two_arc_cpe,True,0.09782474688902718,True,34.09213296650012,7,8,8,0.016068552985937193,0.00010274389693516392,1.000000000000002e-08,,0.30000000000000004,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3676mV_25gradC_EIS.csv,20231113_TC23NMC04_3676mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.676,0.013762128132615552,0.7650699624482012,0.30000000000000004,0.7740309437567974,False
two_arc_cpe_warburg,True,0.09341966474533643,True,35.89191150756728,8,10,10,0.016175264132902926,0.00010469401665362272,1.000000000000002e-08,0.0022196299879580317,0.30000000000000004,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3676mV_25gradC_EIS.csv,20231113_TC23NMC04_3676mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.676,0.012008887848445959,0.4322370313259411,0.30000000000000004,0.8552974641824683,False
randles_cpe,True,0.09849731406427009,True,0.00017797912216481327,4,6,6,0.016189491767649573,0.012883644898539178,0.46708263972688685,,0.8346846813941062,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3794mV_27gradC_EIS.csv,20231113_TC23NMC04_3794mV_27gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,27.0,3.794,,,,,False
randles_cpe_warburg,True,0.09435145603348655,True,0.000134256971471187,5,8,8,0.01626666348613615,0.011461443900891221,0.29080846063882443,0.002048985966312185,0.9019361186033517,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3794mV_27gradC_EIS.csv,20231113_TC23NMC04_3794mV_27gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,27.0,3.794,,,,,False
two_arc_cpe,True,0.09849731402334043,True,30.841353540074277,7,8,8,0.016088457057943605,0.00010096949669218935,1.000000000000002e-08,,0.30000000000000004,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3794mV_27gradC_EIS.csv,20231113_TC23NMC04_3794mV_27gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,27.0,3.794,0.012883795082815315,0.4671517001099692,0.30000000000000004,0.834661035315163,False
two_arc_cpe_warburg,True,0.09329508670734236,True,100.22040570889168,8,10,10,0.01626251964921943,0.005099177613365255,0.9467500748365232,0.0019682361984186226,0.9999999999042868,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3794mV_27gradC_EIS.csv,20231113_TC23NMC04_3794mV_27gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,27.0,3.794,0.006504520278418895,0.1377328592524392,0.9999999999042868,0.9999999999969854,False
randles_cpe,True,0.09747733195052974,True,0.00015614594962754942,4,6,6,0.016270034879482864,0.012776083685085638,0.43361688816022165,,0.8417593109867533,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3854mV_26gradC_EIS.csv,20231113_TC23NMC04_3854mV_26gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,26.0,3.854,,,,,False
randles_cpe_warburg,True,0.09359987345929098,True,0.00012249689845966242,5,8,8,0.01634339877428684,0.011428501578031484,0.2753990758247078,0.001970599590855124,0.9060243765240832,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3854mV_26gradC_EIS.csv,20231113_TC23NMC04_3854mV_26gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,26.0,3.854,,,,,False
two_arc_cpe,True,0.09747733201403204,True,0.40497407027003857,7,8,8,0.010219163660514032,0.006050885914432779,1.000000000000002e-08,,0.30000000000000004,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3854mV_26gradC_EIS.csv,20231113_TC23NMC04_3854mV_26gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,26.0,3.854,0.012776062837953767,0.43360888029727285,0.30000000000000004,0.8417629583382098,False
two_arc_cpe_warburg,True,0.09359987346292041,True,36.666772311548606,8,10,10,0.016233918004703904,0.00010949892722648952,1.4118954716747325e-08,0.0019705909914761693,0.8587845457696819,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3854mV_26gradC_EIS.csv,20231113_TC23NMC04_3854mV_26gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,26.0,3.854,0.011428499256829578,0.275399080384427,0.8587845457696819,0.906026579563777,False
randles_cpe,True,0.09753861848753954,True,0.00015852397816561788,4,6,6,0.016271451296576686,0.011934110538772105,0.4254517667489785,,0.8470274193839811,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3900mV_25gradC_EIS.csv,20231113_TC23NMC04_3900mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.9,,,,,False
randles_cpe_warburg,True,0.09335956413541456,True,0.00015640407988103298,5,8,8,0.01634405186416231,0.010603076587853201,0.2591086355081276,0.0019704078444448023,0.9165349885874521,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3900mV_25gradC_EIS.csv,20231113_TC23NMC04_3900mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.9,,,,,False
two_arc_cpe,True,0.09753861844019027,True,1.0440433530768787,7,8,8,0.01288687378842776,0.0033846717525294334,1.000000000000002e-08,,0.30000000000000004,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3900mV_25gradC_EIS.csv,20231113_TC23NMC04_3900mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.9,0.011934039039625184,0.42543323344877415,0.30000000000000004,0.8470428458488338,False
two_arc_cpe_warburg,True,0.09335956416218884,True,0.780576748689896,8,10,10,0.012596775201881372,0.0037470780812354767,1.000000000000002e-08,0.001970317643299814,0.3000284941135818,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3900mV_25gradC_EIS.csv,20231113_TC23NMC04_3900mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.9,0.010603438819741816,0.2592133720926235,0.3000284941135818,0.9164646061150787,False
randles_cpe,True,0.09836947604580346,True,0.00017786000797269012,4,6,6,0.01630816993187803,0.012015380151356713,0.4913752296057958,,0.8277067967508728,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3980mV_25gradC_EIS.csv,20231113_TC23NMC04_3980mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.98,,,,,False
randles_cpe_warburg,True,0.09205413807015443,True,0.00016381924994220427,5,8,8,0.016405802639845073,0.010338185096873209,0.2565981079698699,0.002438557099954686,0.918460922550707,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3980mV_25gradC_EIS.csv,20231113_TC23NMC04_3980mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.98,,,,,False
two_arc_cpe,True,0.09412854588218651,True,0.0,7,8,8,0.016402891723606674,0.008415457221866937,99.99999999999994,,0.48067697522038955,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3980mV_25gradC_EIS.csv,20231113_TC23NMC04_3980mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.98,0.008876230380590879,0.16744566500584043,0.48067697522038955,0.9810053096261682,False
two_arc_cpe_warburg,True,0.09205413801003652,True,0.8551053419162596,8,10,10,0.012906912808500391,0.0034989642664630723,1.0000000000002086e-08,0.002438564949084196,0.30000000000000004,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3980mV_25gradC_EIS.csv,20231113_TC23NMC04_3980mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.98,0.010338096807122079,0.2565737526753677,0.30000000000000004,0.9184811540689088,False
randles_cpe,True,0.09787883621068717,True,0.00017612755756676353,4,6,6,0.016342628670963116,0.012491643081330406,0.5000338148588405,,0.821240285056116,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_4037mV_25gradC_EIS.csv,20231113_TC23NMC04_4037mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,4.037,,,,,False
randles_cpe_warburg,True,0.09212584706943522,True,0.00014541727475669402,5,8,8,0.01644241357787159,0.010829476611691521,0.26969408134574785,0.0023836199197672147,0.9075823952181177,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_4037mV_25gradC_EIS.csv,20231113_TC23NMC04_4037mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,4.037,,,,,False
