cell_id,cell_family,chemistry_type,temperature_deg_c,direction,smoothing_window_segments,capacity_window,window_lower_fraction,window_upper_fraction,window_width_fraction,n_points,ocv_slope_penalty_v,mean_abs_dv_dcapacity_fraction_v,median_abs_dv_dcapacity_fraction_v,max_abs_dv_dcapacity_fraction_v,mean_dv_dcapacity_fraction_v,voltage_span_v,mean_smoothed_ocv_v,ocv_slope_penalty_vs_25c
TC23NMC09,NMC,lithium-ion,5.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,54,0.4150362544430414,0.7034339369689585,0.6348883314232694,0.9942368945369253,0.7034339369689585,0.41516984580019267,3.8363596587243753,0.9537009814932025
TC23NMC09,NMC,lithium-ion,15.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,57,0.4354224692592162,0.7321711575449299,0.7049847709592427,1.0916930521760548,0.7321711575449299,0.4354992466097025,3.8502289883167267,1.0005459326775463
TC23NMC09,NMC,lithium-ion,25.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,58,0.4351848876082965,0.7397289429549957,0.6859990259624311,1.1718013882205014,0.7397289429549957,0.43519411489022986,3.8575738392252235,1.0
TC23NMC09,NMC,lithium-ion,35.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,58,0.4371298088386277,0.7430842450321521,0.6932852089663584,1.1903389084170328,0.7430842450321521,0.43713932960183355,3.857170723397565,1.0044691837554842
TC23NMC09,NMC,lithium-ion,45.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,59,0.44047669351082713,0.7468172496015474,0.6857624996020775,1.2511613733829563,0.7468172496015474,0.440457637051042,3.8574357631096188,1.0121599027291905
TC23NMC09,NMC,lithium-ion,5.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.44893491126586643,0.7594780441586214,0.7093496263476169,1.2814462368087902,-0.7594780441586214,-0.4490394666610582,3.8368819848969364,0.989971118563931
TC23NMC09,NMC,lithium-ion,15.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.4526539084342432,0.7607934578126868,0.7220122320928226,1.2790798043082816,-0.7607934578126868,-0.45266290582973223,3.839822056152221,0.9981720842146814
TC23NMC09,NMC,lithium-ion,25.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.45348283687012914,0.7683034578433899,0.7336918384680047,1.3412250428817174,-0.7683034578433899,-0.45350201805827073,3.8410902598612555,1.0
TC23NMC09,NMC,lithium-ion,35.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.45271060603136265,0.7625116869436188,0.7218226725648265,1.3295554940619922,-0.7625116869436188,-0.45270104729466887,3.846000973471433,0.9982971112113166
TC23NMC09,NMC,lithium-ion,45.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.45579937297564527,0.7734462189672348,0.7312944319255763,1.3842065472636307,-0.7734462189672348,-0.45579050595427306,3.8429693627003085,1.0051083214560104
