cell_family,chemistry_type,pulse_direction,abs_c_rate,soc_percent_round,n,median_r_fast_mohm,median_r_100ms_mohm,median_r_1s_mohm
NMC,lithium-ion,charge,3.0,80.0,6,38.025000000000006,40.035000000000004,42.30499999999999
NMC,lithium-ion,charge,3.0,90.0,9,37.589999999999996,38.97,45.675
NMC,lithium-ion,discharge,1.0,0.0,6,40.02,46.95,63.39
NMC,lithium-ion,discharge,1.0,10.0,6,38.21,41.58,45.46
NMC,lithium-ion,discharge,1.0,20.0,6,38.16,40.120000000000005,42.725
NMC,lithium-ion,discharge,1.0,30.0,6,37.775000000000006,38.91,41.645
NMC,lithium-ion,discharge,1.0,40.0,6,37.964999999999996,38.919999999999995,40.885
NMC,lithium-ion,discharge,1.0,50.0,6,38.349999999999994,39.425000000000004,41.26499999999999
NMC,lithium-ion,discharge,1.0,60.0,6,38.41,39.300000000000004,41.645
NMC,lithium-ion,discharge,1.0,70.0,6,37.96,39.419999999999995,42.165
NMC,lithium-ion,discharge,1.0,80.0,6,38.144999999999996,40.184999999999995,42.85
NMC,lithium-ion,discharge,1.0,90.0,9,37.510000000000005,38.79,41.85
NMC,lithium-ion,discharge,2.0,0.0,6,39.849999999999994,46.695,64.125
NMC,lithium-ion,discharge,2.0,10.0,6,38.11000000000001,41.465,45.335
NMC,lithium-ion,discharge,2.0,20.0,6,37.795,39.9,42.6
NMC,lithium-ion,discharge,2.0,30.0,6,37.71,38.690000000000005,41.455
NMC,lithium-ion,discharge,2.0,40.0,6,37.805,38.760000000000005,40.660000000000004
NMC,lithium-ion,discharge,2.0,50.0,6,38.095,39.084999999999994,40.959999999999994
NMC,lithium-ion,discharge,2.0,60.0,6,38.190000000000005,39.11,41.35999999999999
NMC,lithium-ion,discharge,2.0,70.0,6,37.519999999999996,39.19499999999999,42.06
NMC,lithium-ion,discharge,2.0,80.0,6,38.055,40.18,42.76
NMC,lithium-ion,discharge,2.0,90.0,9,37.449999999999996,38.67,41.660000000000004
NMC,lithium-ion,discharge,3.0,0.0,6,39.855000000000004,46.97,64.87
NMC,lithium-ion,discharge,3.0,10.0,6,38.035,41.33,45.269999999999996
NMC,lithium-ion,discharge,3.0,20.0,6,37.64,39.699999999999996,42.45
NMC,lithium-ion,discharge,3.0,30.0,6,37.535,38.489999999999995,41.305
NMC,lithium-ion,discharge,3.0,40.0,6,37.665000000000006,38.574999999999996,40.485
NMC,lithium-ion,discharge,3.0,50.0,6,37.905,38.775000000000006,40.665
NMC,lithium-ion,discharge,3.0,60.0,6,38.004999999999995,38.894999999999996,41.120000000000005
NMC,lithium-ion,discharge,3.0,70.0,6,37.285,39.099999999999994,41.92
NMC,lithium-ion,discharge,3.0,80.0,6,37.855,40.059999999999995,42.645
NMC,lithium-ion,discharge,3.0,90.0,9,37.39,38.54,41.51
SIB,sodium-ion,charge,1.0,0.0,6,78.395,105.81500000000001,120.285
SIB,sodium-ion,charge,1.0,10.0,6,79.18,93.59,98.605
SIB,sodium-ion,charge,1.0,20.0,6,79.865,91.19,94.16
SIB,sodium-ion,charge,1.0,30.0,3,82.9,92.67,94.97
SIB,sodium-ion,charge,1.0,40.0,6,78.69500000000001,88.95,91.17
